P,kappa,waveform,branch,theta0,polarity,tau,discovery_macro_ba,discovery_gate_auc,discovery_cont_auc,discovery_gate_rate,phase_rule,confirmation_gate_auc,confirmation_cont_auc,confirmation_macro_ba,confirmation_gate_rate,gate_family,raw_permutation_p,fwer_maxstat_p,discovery_selected,confirmation_max
12,phi,square,oscillation,0.64370469536158,1,0.0,0.6164943081609748,0.6666666666666666,0.6666666666666666,0.4725274725274725,exact_half_cycle,0.4957983193277311,0.4957983193277311,0.5085024907812503,0.521551724137931,half_cycle_square,0.5334446655533445,1.0,False,False
12,sqrt2,square,rotation,5.32076095468191,1,0.0,0.6184784351451018,0.44086021505376344,0.44086021505376344,0.46153846153846156,exact_half_cycle,0.592436974789916,0.592436974789916,0.546737620668102,0.5301724137931034,half_cycle_square,0.04108958910410896,0.6281537184628154,False,False
12,sqrt2,square,oscillation,0.57501696183461,1,0.0,0.6310165143498477,0.5860215053763441,0.5860215053763441,0.5054945054945055,exact_half_cycle,0.4726890756302521,0.4726890756302521,0.5279401655689643,0.4827586206896552,half_cycle_square,0.6916530834691653,1.0,False,False
12,sqrt3,square,rotation,4.20893607238466,1,0.0,0.7120650953984288,0.5806451612903226,0.5806451612903226,0.4725274725274725,exact_half_cycle,0.5126050420168067,0.5126050420168067,0.4642829077035742,0.49137931034482757,half_cycle_square,0.4077959220407796,1.0,False,False
12,sqrt3,square,oscillation,9.198352e-06,1,0.0,0.6128507295173962,0.5161290322580645,0.5161290322580645,0.5384615384615384,exact_half_cycle,0.39915966386554624,0.39915966386554624,0.4464198595956454,0.41810344827586204,half_cycle_square,0.9737502624973751,1.0,False,False
24,phi,square,rotation,4.67024633968576,1,0.0,0.5934463684463684,0.5376344086021505,0.5376344086021505,0.5494505494505495,exact_half_cycle,0.5189075630252101,0.5189075630252101,0.4361137224260023,0.5258620689655172,half_cycle_square,0.36105638943610563,1.0,False,False
24,phi,square,oscillation,2.64015793048126,1,0.0,0.5513468013468013,0.5,0.5,0.5164835164835165,exact_half_cycle,0.5777310924369747,0.5777310924369747,0.5752026743744495,0.5086206896551724,half_cycle_square,0.07346926530734693,0.8270217297827022,False,False
24,sqrt2,square,rotation,3.62677158841457,1,0.0,0.6335698252364919,0.46774193548387094,0.46774193548387094,0.6153846153846154,exact_half_cycle,0.4894957983193277,0.4894957983193277,0.5194560911676471,0.5086206896551724,half_cycle_square,0.5756142438575614,1.0,False,False
24,sqrt2,square,oscillation,6.05020408921862,1,0.0,0.6099847683181017,0.46774193548387094,0.46774193548387094,0.46153846153846156,exact_half_cycle,0.3697478991596639,0.3697478991596639,0.4564759804887952,0.44396551724137934,half_cycle_square,0.994370056299437,1.0,False,False
24,sqrt3,square,rotation,3.55646187874448,1,0.0,0.6486371653038319,0.5913978494623656,0.5913978494623656,0.5054945054945055,exact_half_cycle,0.5525210084033614,0.5525210084033614,0.5787633489505147,0.4870689655172414,half_cycle_square,0.16714832851671482,0.984120158798412,False,False
